NIS code;Woonplaats;Mannen;Vrouwen;Totaal
43014;Sint-Laureins;3.450;3.368;6.818
43018;Zelzate;6.540;6.359;12.899
44000;Arrondissement Gent;279.539;284.503;564.042
44012;De Pinte;5.221;5.660;10.881
44013;Destelbergen;9.061;9.467;18.528
44019;Evergem;17.581;18.047;35.628
44020;Gavere;6.378;6.525;12.903
44021;Gent;131.543;132.384;263.927
44034;Lochristi;11.179;11.431;22.610
44040;Melle;5.677;6.134;11.811
44043;Merelbeke;12.154;12.602;24.756
44045;Moerbeke (Gent);3.273;3.297;6.570
44048;Nazareth;5.753;5.949;11.702
44052;Oosterzele;6.854;6.835;13.689
44064;Sint-Martens-Latem;4.041;4.324;8.365
44073;Wachtebeke;3.828;3.981;7.809
44081;Zulte;7.936;7.855;15.791
44083;Deinze;21.566;22.014;43.580
44084;Aalter;14.614;14.568;29.182
44085;Lievegem;12.880;13.430;26.310
45000;Arrondissement Oudenaarde;61.593;63.017;124.610
45035;Oudenaarde;15.689;15.923;31.612
45041;Ronse;12.918;13.456;26.374
45059;Brakel;7.277;7.526;14.803
45060;Kluisbergen;3.277;3.300;6.577
45061;Wortegem-Petegem;3.217;3.178;6.395
45062;Horebeke;973;1.049;2.022
45063;Lierde;3.308;3.271;6.579
45064;Maarkedal;3.081;3.257;6.338
45065;Zwalm;4.030;4.137;8.167
45068;Kruisem;7.823;7.920;15.743
46000;Arrondissement Sint-Niklaas;125.646;129.204;254.850
46003;Beveren (Sint-Niklaas);24.237;24.810;49.047
46013;Kruibeke;8.320;8.526;16.846
46014;Lokeren;20.717;21.327;42.044
46020;Sint-Gillis-Waas;9.693;9.806;19.499
46021;Sint-Niklaas (Sint-Niklaas);38.468;40.063;78.531
46024;Stekene;9.221;9.466;18.687
46025;Temse;14.990;15.206;30.196
50000;Provincie Henegouwen;655.724;691.116;1.346.840
51000;Arrondissement Aat;62.914;65.554;128.468
51004;Aat;14.234;15.260;29.494
51008;Beloeil;6.954;7.106;14.060
51009;Bernissart;5.773;6.079;11.852
51012;Brugelette;1.839;1.885;3.724
51014;Chièvres;3.429;3.496;6.925
51017;Elzele;2.958;3.034;5.992
51019;Vloesberg;1.689;1.744;3.433
51065;Frasnes-lez-Anvaing;5.839;5.994;11.833
51067;Edingen;6.829;7.232;14.061
51068;Opzullik;4.169;4.179;8.348
51069;Lessen;9.201;9.545;18.746
52000;Arrondissement Charleroi;192.791;204.171;396.962
52010;Chapelle-lez-Herlaimont;7.100;7.705;14.805
52011;Charleroi;99.022;103.724;202.746
52012;Châtelet;17.190;18.478;35.668
52015;Courcelles;15.132;16.065;31.197
52018;Farciennes;5.463;5.792;11.255
52021;Fleurus;11.176;11.880;23.056
52022;Fontaine-l’Evêque;8.592;9.246;17.838
52025;Gerpinnes;6.176;6.632;12.808
52048;Montigny-le-Tilleul;4.775;5.357;10.132
52055;Pont-à-Celles;8.391;8.860;17.251
52074;Aiseau-Presles;5.186;5.553;10.739
52075;Les Bons Villers;4.588;4.879;9.467
53000;Arrondissement Bergen;125.294;133.943;259.237
53014;Boussu;9.426;10.420;19.846
53020;Dour;7.955;8.557;16.512
53028;Frameries;10.409;11.550;21.959
53039;Hensies;3.307;3.542;6.849
53044;Jurbeke;5.129;5.393;10.522
53046;Lens;2.252;2.340;4.592
53053;Bergen;46.682;49.205;95.887
53065;Quaregnon;9.103;9.815;18.918
53068;Quiévrain;3.260;3.486;6.746
53070;Saint-Ghislain;11.223;12.205;23.428
53082;Colfontaine;10.027;10.714;20.741
53083;Honnelles;2.563;2.589;5.152
53084;Quévy;3.958;4.127;8.085
55000;Arrondissement Zinnik;51.542;53.637;105.179
55004;’s Gravenbrakel;10.872;11.190;22.062
55035;Le Roeulx;4.303;4.432;8.735
55040;Zinnik;13.757;14.514;28.271
55050;Ecaussinnes;5.478;5.724;11.202
55085;Seneffe;5.618;5.862;11.480
55086;Manage;11.514;11.915;23.429
56000;Arrondissement Thuin;45.124;46.601;91.725
56001;Anderlues;6.051;6.311;12.362
56005;Beaumont;3.596;3.569;7.165
56016;Chimay;4.796;4.930;9.726
56022;Erquelinnes;4.866;5.120;9.986
56029;Froidchapelle;2.006;1.987;3.993
56044;Lobbes;2.828;2.990;5.818
56049;Merbes-le-Château;2.099;2.113;4.212
56051;Momignies;2.690;2.655;5.345
56078;Thuin;7.268;7.435;14.703
56086;Ham-sur-Heure-Nalinnes;6.568;7.053;13.621
56088;Sivry-Rance;2.356;2.438;4.794
57000;Arrondissement Doornik-Moeskroen;109.513;114.286;223.799
57003;Antoing;3.776;3.938;7.714
57018;Celles (Doornik);2.816;2.875;5.691
57027;Estaimpuis;5.190;5.376;10.566
57062;Pecq;2.862;2.899;5.761
57064;Péruwelz;8.385;8.735;17.120
57072;Rumes;2.582;2.638;5.220
57081;Doornik;33.886;35.197;69.083
57093;Brunehaut;4.007;4.082;8.089
57094;Leuze-en-Hainaut;6.755;7.186;13.941
