city,nis,date,delta,total
Antwerpen,11002,2020-06-19,13,2581
Antwerpen,11002,2020-06-20,5,2586
Antwerpen,11002,2020-06-23,26,2612
Antwerpen,11002,2020-06-24,5,2617
Antwerpen,11002,2020-06-25,15,2632
Antwerpen,11002,2020-06-26,4,2636
Antwerpen,11002,2020-06-27,10,2646
Antwerpen,11002,2020-06-30,25,2671
Antwerpen,11002,2020-07-01,1,2672
Antwerpen,11002,2020-07-02,8,2680
Antwerpen,11002,2020-07-03,21,2701
Antwerpen,11002,2020-07-04,5,2706
Antwerpen,11002,2020-07-07,40,2746
Antwerpen,11002,2020-07-08,8,2754
Antwerpen,11002,2020-07-09,10,2764
Antwerpen,11002,2020-07-10,18,2782
Antwerpen,11002,2020-07-11,21,2803
Antwerpen,11002,2020-07-14,44,2847
Antwerpen,11002,2020-07-15,8,2855
Antwerpen,11002,2020-07-16,30,2885
Antwerpen,11002,2020-07-17,46,2931
Antwerpen,11002,2020-07-18,55,2986
Antwerpen,11002,2020-07-20,135,3121
Antwerpen,11002,2020-07-21,46,3167
Antwerpen,11002,2020-07-22,43,3210
Antwerpen,11002,2020-07-23,106,3316
Antwerpen,11002,2020-07-24,35,3351
Antwerpen,11002,2020-07-25,72,3423
Antwerpen,11002,2020-07-26,202,3625
Antwerpen,11002,2020-07-27,102,3727
Antwerpen,11002,2020-07-28,168,3895
Antwerpen,11002,2020-07-29,59,3954
Antwerpen,11002,2020-07-30,190,4144
Antwerpen,11002,2020-07-31,198,4342
Antwerpen,11002,2020-08-01,150,4492
Antwerpen,11002,2020-08-02,170,4662
Antwerpen,11002,2020-08-03,95,4757
Antwerpen,11002,2020-08-04,166,4923
Antwerpen,11002,2020-08-05,81,5004
Antwerpen,11002,2020-08-06,89,5093
Antwerpen,11002,2020-08-07,241,5334
Antwerpen,11002,2020-08-08,160,5494
Antwerpen,11002,2020-08-09,116,5610
Antwerpen,11002,2020-08-10,138,5748
Antwerpen,11002,2020-08-11,124,5872
Antwerpen,11002,2020-08-12,102,5974
Antwerpen,11002,2020-08-13,101,6075
Antwerpen,11002,2020-08-14,66,6141
Antwerpen,11002,2020-08-15,159,6300
Antwerpen,11002,2020-08-16,86,6386
Antwerpen,11002,2020-08-17,55,6441
Antwerpen,11002,2020-08-18,55,6496
Antwerpen,11002,2020-08-19,30,6526
Antwerpen,11002,2020-08-20,66,6592
Antwerpen,11002,2020-08-21,45,6637
Antwerpen,11002,2020-08-22,100,6737
Antwerpen,11002,2020-08-23,71,6808
Antwerpen,11002,2020-08-24,76,6884
Antwerpen,11002,2020-08-25,23,6907
Antwerpen,11002,2020-08-26,39,6946
Antwerpen,11002,2020-08-27,80,7026
Antwerpen,11002,2020-08-28,51,7077
Antwerpen,11002,2020-08-29,50,7127
Antwerpen,11002,2020-08-30,61,7188
Antwerpen,11002,2020-08-31,43,7231
Antwerpen,11002,2020-09-01,48,7279
Antwerpen,11002,2020-09-02,25,7304
Antwerpen,11002,2020-09-03,56,7360
Antwerpen,11002,2020-09-04,82,7442
Antwerpen,11002,2020-09-05,58,7500
Antwerpen,11002,2020-09-06,77,7577
Antwerpen,11002,2020-09-07,55,7632
Antwerpen,11002,2020-09-08,68,7700
Antwerpen,11002,2020-09-09,43,7743
Antwerpen,11002,2020-09-10,62,7805
Antwerpen,11002,2020-09-11,103,7908
Antwerpen,11002,2020-09-12,113,8021
Antwerpen,11002,2020-09-13,128,8149
Antwerpen,11002,2020-09-14,116,8265
Antwerpen,11002,2020-09-15,93,8358
Antwerpen,11002,2020-09-16,51,8409
Antwerpen,11002,2020-09-17,109,8518
Antwerpen,11002,2020-09-18,99,8617
Antwerpen,11002,2020-09-19,203,8820
Antwerpen,11002,2020-09-20,115,8935
Antwerpen,11002,2020-09-21,155,9090
Antwerpen,11002,2020-09-22,134,9224
Antwerpen,11002,2020-09-23,131,9355
Antwerpen,11002,2020-09-24,144,9499
Antwerpen,11002,2020-09-25,161,9660
Antwerpen,11002,2020-09-26,173,9833
Antwerpen,11002,2020-09-27,226,10059
Antwerpen,11002,2020-09-28,126,10185
Antwerpen,11002,2020-09-29,109,10294
Antwerpen,11002,2020-09-30,89,10383
Antwerpen,11002,2020-10-01,149,10532
Antwerpen,11002,2020-10-02,186,10718
Antwerpen,11002,2020-10-03,184,10902
Antwerpen,11002,2020-10-04,187,11089
Antwerpen,11002,2020-10-05,153,11242
Antwerpen,11002,2020-10-06,70,11312
Antwerpen,11002,2020-10-07,121,11433
Antwerpen,11002,2020-10-08,225,11658
Antwerpen,11002,2020-10-09,216,11874
Antwerpen,11002,2020-10-10,285,12159
Antwerpen,11002,2020-10-11,303,12462
Antwerpen,11002,2020-10-12,196,12658
Antwerpen,11002,2020-10-13,228,12886
Antwerpen,11002,2020-10-14,247,13133
Antwerpen,11002,2020-10-15,274,13407
Antwerpen,11002,2020-10-16,357,13764
Antwerpen,11002,2020-10-17,504,14268
Antwerpen,11002,2020-10-18,294,14562
Antwerpen,11002,2020-10-19,229,14791
Antwerpen,11002,2020-10-20,356,15147
Antwerpen,11002,2020-10-21,370,15517
Antwerpen,11002,2020-10-22,397,15914
Antwerpen,11002,2020-10-23,439,16353
Antwerpen,11002,2020-10-24,516,16869
Antwerpen,11002,2020-10-25,486,17355
Antwerpen,11002,2020-10-26,460,17815
Antwerpen,11002,2020-10-27,410,18225
Antwerpen,11002,2020-10-28,506,18731
Antwerpen,11002,2020-10-29,648,19379
Antwerpen,11002,2020-10-30,898,20277
Antwerpen,11002,2020-10-31,589,20866
Antwerpen,11002,2020-11-01,517,21383
Antwerpen,11002,2020-11-02,320,21703
Antwerpen,11002,2020-11-03,205,21908
Antwerpen,11002,2020-11-04,167,22075
Antwerpen,11002,2020-11-05,599,22674
Antwerpen,11002,2020-11-06,300,22974
Antwerpen,11002,2020-11-07,298,23272
Antwerpen,11002,2020-11-08,186,23458
Antwerpen,11002,2020-11-09,370,23828
Antwerpen,11002,2020-11-10,104,23932
Antwerpen,11002,2020-11-11,134,24066
Boechout,11004,2020-04-01,0,14
Boechout,11004,2020-04-02,0,14
Boechout,11004,2020-04-03,2,16
Boechout,11004,2020-04-04,0,16
Boechout,11004,2020-04-05,3,19
Boechout,11004,2020-04-06,1,20
Boechout,11004,2020-04-07,0,20
Boechout,11004,2020-04-08,1,21
